,Country/Territory,UN region,ForecastIMF,Forecast_year,World_bank_estimate,World_bank_year,CIA_estimate,CIA_year
0,United States,Americas,"2,69,49,643",2023,"2,54,62,700",2022,"2,33,15,081",2021
1,China,Asia,"1,77,00,899",[n 1]2023,"1,79,63,171",[n 3]2022,"1,77,34,131",[n 1]2021
2,Germany,Europe,"44,29,838",2023,"40,72,192",2022,"42,59,935",2021
3,Japan,Asia,"42,30,862",2023,"42,31,141",2022,"49,40,878",2021
4,India,Asia,"37,32,224",2023,"33,85,090",2022,"32,01,471",2021
5,United Kingdom,Europe,"33,32,059",2023,"30,70,668",2022,"31,31,378",2021
6,France,Europe,"30,49,016",2023,"27,82,905",2022,"29,57,880",2021
7,Italy,Europe,"21,86,082",2023,"20,10,432",2022,"21,07,703",2021
8,Brazil,Americas,"21,26,809",2023,"19,20,096",2022,"16,08,981",2021
9,Canada,Americas,"21,17,805",2023,"21,39,840",2022,"19,88,336",2021
10,Russia,Europe,"18,62,470",2023,"22,40,422",2022,"17,78,782",2021
11,Mexico,Americas,"18,11,468",2023,"14,14,187",2022,"12,72,839",2021
12,South Korea,Asia,"17,09,232",2023,"16,65,246",2022,"18,10,966",2021
13,Australia,Oceania,"16,87,713",2023,"16,75,419",2022,"17,34,532",2021
14,Spain,Europe,"15,82,054",2023,"13,97,509",2022,"14,27,381",2021
15,Indonesia,Asia,"14,17,387",2023,"13,19,100",2022,"11,86,093",2021
16,Turkey,Asia,"11,54,600",2023,"9,05,988",2022,"8,19,034",2021
17,Netherlands,Europe,"10,92,748",2023,"9,91,115",2022,"10,12,847",2021
18,Saudi Arabia,Asia,"10,69,437",2023,"11,08,149",2022,"8,33,541",2021
19,Switzerland,Europe,"9,05,684",2023,"8,07,706",2022,"8,12,867",2021
20,Poland,Europe,"8,42,172",2023,"6,88,177",2022,"6,79,442",2021
21,Taiwan,Asia,"7,51,930",[n 4]2023,—,—,,2021
22,Belgium,Europe,"6,27,511",2023,"5,78,604",2022,"5,94,104",2021
23,Argentina,Americas,"6,21,833",2023,"6,32,770",2022,"4,87,227",2021
24,Sweden,Europe,"5,97,110",2023,"5,85,939",2022,"6,35,664",2021
25,Ireland,Europe,"5,89,569",2023,"5,29,245",2022,"5,04,183",2021
26,Norway,Europe,"5,46,768",2023,"5,79,267",2022,"4,82,175",2021
27,Austria,Europe,"5,26,182",2023,"4,71,400",2022,"4,80,368",2021
28,Israel,Asia,"5,21,688",2023,"5,22,033",2022,"4,81,591",2021
29,Thailand,Asia,"5,12,193",2023,"4,95,341",2022,"5,05,982",2021
30,United Arab Emirates,Asia,"5,09,179",2023,"5,07,535",2022,"4,05,468",2021
31,Singapore,Asia,"4,97,347",2023,"4,66,789",2022,"3,96,992",2021
32,Bangladesh,Asia,"4,46,349",2023,"4,60,201",2022,"4,14,907",2021
33,Philippines,Asia,"4,35,675",2023,"4,04,284",2022,"3,94,086",2021
34,Vietnam,Asia,"4,33,356",2023,"4,08,802",2022,"3,66,138",2021
35,Malaysia,Asia,"4,30,895",2023,"4,06,306",2022,"3,72,702",2021
36,Denmark,Europe,"4,20,800",2023,"3,95,404",2022,"3,98,303",2021
37,Egypt,Africa,"3,98,397",2023,"4,76,748",2022,"4,25,906",2021
38,Nigeria,Africa,"3,90,002",2023,"4,77,386",2022,"4,30,923",2021
39,Hong Kong,Asia,"3,85,546",[n 5]2023,"3,59,839",2022,"3,69,174",2021
40,South Africa,Africa,"3,80,906",2023,"4,05,870",2022,"4,19,016",2021
41,Iran,Asia,"3,66,438",2023,"3,88,544",2022,"5,94,892",2021
42,Colombia,Americas,"3,63,835",2023,"3,43,939",2022,"3,14,464",2021
43,Romania,Europe,"3,50,414",2023,"3,01,262",2022,"2,84,086",2021
44,Chile,Americas,"3,44,400",2023,"3,01,025",2022,"3,17,059",2021
45,Pakistan,Asia,"3,40,636",2023,"3,76,533",2022,"3,42,501",2021
46,Czech Republic,Europe,"3,35,243",2023,"2,90,924",2022,"2,81,778",2021
47,Finland,Europe,"3,05,689",2023,"2,80,826",2022,"2,97,302",2021
48,Iraq,Asia,"2,97,695",2023,"2,64,182",2022,"2,04,004",2021
49,Portugal,Europe,"2,76,432",2023,"2,51,945",2022,"2,53,663",2021
50,Peru,Americas,"2,64,636",2023,"2,42,632",2022,"2,23,252",2021
51,Kazakhstan,Asia,"2,59,292",2023,"2,20,623",2022,"1,93,018",2021
52,New Zealand,Oceania,"2,49,415",2023,"2,47,234",2022,"2,50,451",2021
53,Greece,Europe,"2,42,385",2023,"2,19,066",2022,"2,14,874",2021
54,Qatar,Asia,"2,35,500",2023,"2,37,296",2022,"1,79,571",2021
55,Algeria,Africa,"2,24,107",2023,"1,91,913",2022,"1,63,473",2021
56,Hungary,Europe,"2,03,829",2023,"1,78,789",2022,"1,81,848",2021
57,Ukraine,Europe,"1,73,413",[n 6]2023,"1,60,503",[n 6]2022,"2,00,086",[n 6]2021
58,Kuwait,Asia,"1,59,687",2023,"1,84,558",2022,"1,36,642",2021
59,Ethiopia,Africa,"1,55,804",2023,"1,26,783",2022,"99,269",2021
